dataset,node,converged,non_stationary_ar,non_invertible_ma
yahoo_s5,0,True,False,False
yahoo_s5,1,True,False,False
yahoo_s5,2,True,False,False
yahoo_s5,3,True,False,False
yahoo_s5,4,True,False,False
yahoo_s5,5,True,False,False
yahoo_s5,6,True,False,False
yahoo_s5,7,True,False,False
yahoo_s5,8,True,False,False
yahoo_s5,9,True,False,False
yahoo_s5,10,True,False,False
yahoo_s5,11,True,False,False
yahoo_s5,12,True,False,False
yahoo_s5,13,True,False,False
yahoo_s5,14,True,False,False
yahoo_s5,15,True,False,False
yahoo_s5,16,True,False,False
yahoo_s5,17,True,False,False
yahoo_s5,18,True,False,False
yahoo_s5,19,True,False,False
yahoo_s5,20,True,False,False
yahoo_s5,21,True,False,False
yahoo_s5,22,True,False,False
yahoo_s5,23,True,False,False
yahoo_s5,24,True,True,True
metrla,0,True,False,False
metrla,1,True,False,False
metrla,2,True,False,False
metrla,3,True,True,True
metrla,4,True,False,False
metrla,5,True,False,False
metrla,6,True,False,False
metrla,7,True,False,False
metrla,8,True,False,False
metrla,9,True,False,False
metrla,10,True,False,False
metrla,11,True,False,False
metrla,12,True,True,True
metrla,13,True,False,False
metrla,14,True,False,False
metrla,15,True,False,False
metrla,16,True,False,False
metrla,17,True,False,False
metrla,18,True,False,False
metrla,19,True,False,False
metrla,20,True,False,False
metrla,21,True,False,False
metrla,22,True,False,False
metrla,23,True,False,False
metrla,24,True,False,False
